@relation missing_fixed(2)-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Temp numeric
@attribute TMax numeric
@attribute Tmin numeric
@attribute SLP numeric
@attribute Humidity numeric
@attribute PPresure numeric
@attribute VVisiblity numeric
@attribute VavgWindSpeed numeric
@attribute VMWindSpeed numeric
@attribute VGspeed numeric
@attribute RAin numeric
@attribute SNow numeric
@attribute TStrom numeric
@attribute FoG numeric
@attribute NowCast numeric
@attribute Raw numeric
@attribute AQI_CATEGORY {'very unhealthy ',hazardous,moderate,good,'moderate unhealthy ',unhealthy}

@data
2017,2,7,23.7,29.4,18.5,1011.2,58,0.51,3.8,1.3,3.8,0,0,0,0,1,122.279167,122.583333,'very unhealthy '
2017,9,27,28.5,32.5,27.8,1005.8,90,3.3,4.2,0,4.7,0,15,0,9,0,82.195833,80.583333,'very unhealthy '
2017,11,6,25.4,30.3,20.6,1011,64,5.85,4.3,1.6,5.4,0,3,0,0,0,59.425,60.416667,'very unhealthy '
2019,6,11,29.8,33.4,26.4,1001.1,79,246.36,4.8,4.5,11.2,0,15,0,11,0,16.975,17.8,'very unhealthy '
2018,3,18,27.3,33.3,21.7,1009.1,56.9,17.27,4.4,2,5.7,0,2,0,0,0,123.0375,125.041667,'very unhealthy '
2017,9,6,29.3,32.9,26.7,1004.9,81.3,383.03,4.6,1.2,4.7,0,15,0,9,0,54.325,54.458333,'very unhealthy '
2018,7,9,29.2,31.6,27.5,999.8,81,0.51,4.7,6.5,9.4,0,22,0,5,0,23.414286,23.47619,'very unhealthy '
2017,10,16,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,0,9,0,1,0,94.145833,92.125,'very unhealthy '
2016,1,29,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,77.74,78.47,'very unhealthy '
2017,10,4,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,0,9,0,1,0,45.154167,2.041667,'very unhealthy '
2018,7,24,29.4,32.6,26.7,998.9,81,354.84,4.5,3.7,7.9,0,22,0,5,0,15.881818,14.909091,'very unhealthy '
2018,3,23,27.3,33.3,21.7,1009.1,56.9,17.27,4.4,2,5.7,0,2,0,0,0,124.720833,33,'very unhealthy '
2017,5,11,29.9,34.3,25.6,1004.6,72.4,201.69,5.1,2.2,7,0,10,0,6,0,45.9,43.75,'very unhealthy '
2016,3,15,27.4,32.4,20.7,1011.1,49,0,3.5,0,7,0,8,0,5,1,128.091667,132.541667,'very unhealthy '
