@relation 'missing_fixed_cat-weka.filters.unsupervised.attribute.Remove-R1-2,14-17,19-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R11'

@attribute Day numeric
@attribute Temp numeric
@attribute TMax numeric
@attribute Tmin numeric
@attribute SLP numeric
@attribute Humidity numeric
@attribute PPresure numeric
@attribute VVisiblity numeric
@attribute VavgWindSpeed numeric
@attribute VMWindSpeed numeric
@attribute NowCast numeric
@attribute Raw numeric
@attribute AQI_CATEGORY {'very unhealthy ',hazardous,moderate,good,'moderate unhealthy ',unhealthy}

@data
29,30.7,34.8,26.3,998,81,0,4.8,4.6,14.8,37.783333,38.083333,'very unhealthy '
15,28.3,31.2,25.7,1004.2,87,2.03,4.5,3.3,7.6,21.304167,21.458333,'very unhealthy '
30,20.8,26.2,15.5,1013.5,62.8,0,3.2,1.6,4.2,125.5875,125.708333,'very unhealthy '
15,27.4,32.4,20.7,1011.1,49,0,3.5,0,7,128.091667,132.541667,'very unhealthy '
17,31,34.5,27.7,1003.7,70.3,10.17,4.7,3.1,5.7,36.275,35.416667,'very unhealthy '
4,29.5,33.2,26.8,1001.3,78.1,172.98,4.8,2.1,5.5,19.279167,19.25,'very unhealthy '
29,30.7,34.8,26.3,998,81,0,4.8,4.6,14.8,37.783333,38.083333,'very unhealthy '
25,22.7,29.2,18.3,1010.5,69,0,4.2,0.6,3.5,177.829167,179.083333,'very unhealthy '
12,21.6,27.6,17.2,1013.3,70,0,3.5,1.2,3.6,137.3125,136.375,'very unhealthy '
29,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,77.74,78.47,'very unhealthy '
17,28.5,33.3,24.6,1004.8,73.2,179.58,4.2,3.8,9.4,25.7125,25.416667,'very unhealthy '
25,22.7,29.2,18.3,1010.5,69,0,4.2,0.6,3.5,177.829167,179.083333,'very unhealthy '
8,29.4,32.6,26.7,998.9,81,354.84,4.5,3.7,7.9,19.9,22.458333,'very unhealthy '
17,21.5,27.6,16.5,1013.2,61.8,0,3.7,1.1,5.6,151.258333,148.083333,'very unhealthy '
15,28.2,34.4,23.7,1007.8,62,0.51,4.2,1.5,5.4,83.925,81.166667,'very unhealthy '
10,23.7,29.4,18.5,1011.2,58,0.51,3.8,1.3,3.8,245.458333,248.166667,'very unhealthy '
27,20.5,25,16.8,1014.1,47,0,2.3,1.1,3.5,77.74,78.47,'very unhealthy '
22,29.9,33.6,23.6,1006.7,53,0,4.7,0,3.5,83.279167,84.333333,'very unhealthy '
22,28.5,33.3,24.6,1004.8,73.2,179.58,4.2,3.8,9.4,52.4875,52.916667,'very unhealthy '
20,27.1,34,20.5,1009.1,40,0,4.3,1.1,5.4,108.208333,108.958333,'very unhealthy '
29,30.7,34.8,26.3,998,81,0,4.8,4.6,14.8,37.783333,38.083333,'very unhealthy '
24,27.3,33.3,21.7,1009.1,56.9,17.27,4.4,2,5.7,77.722727,30.454545,'very unhealthy '
23,27.4,33,22.1,1007.8,67.6,331.46,4.6,3.2,10,25.285714,6.714286,'very unhealthy '
13,29.8,33.6,27.1,1000,77.6,166.12,4.6,3.2,8,20.729167,137.958333,'very unhealthy '
30,31,34.5,27.7,1003.7,70.3,10.17,4.7,3.1,5.7,32.7875,32.333333,'very unhealthy '
20,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,14.783333,14.666667,'very unhealthy '
4,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,45.154167,2.041667,'very unhealthy '
23,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,56.258333,56.875,'very unhealthy '
19,25,30.1,20.1,1009.5,64.5,98.81,4.2,1.8,5.8,102.6625,106.166667,'very unhealthy '
28,24.1,29.5,20.3,1011.2,72.8,24.13,4.2,0.9,4.3,129.266667,128.916667,'very unhealthy '
30,28.6,31.6,26.9,1003,84,10.92,4.7,4.4,5.4,33.570833,35.083333,'very unhealthy '
30,29.2,32.4,26.8,1002.1,82.2,574.3,4.6,1,4.3,25.704167,24.75,'very unhealthy '
15,27.4,32.4,20.7,1011.1,49,0,3.5,0,7,128.091667,132.541667,'very unhealthy '
3,21.8,28.5,16.7,1014.1,61,0,3.9,1.1,5.4,124.3375,124.958333,'very unhealthy '
13,30.4,36.2,25.2,1007.7,52,0,5.3,0,8.1,128.1375,129.833333,'very unhealthy '
8,30.8,34.2,28.4,1003.4,73,0,5,1.1,3.5,37.491667,37.625,'very unhealthy '
30,29.2,32.4,26.8,1002.1,82.2,574.3,4.6,1,4.3,25.704167,24.75,'very unhealthy '
4,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,45.154167,2.041667,'very unhealthy '
5,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,128.129167,122.833333,'very unhealthy '
23,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,56.258333,56.875,'very unhealthy '
6,29.3,33,26.3,1000.7,78.5,240.54,4.9,2.1,5.8,56.85,58.833333,'very unhealthy '
20,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,14.783333,14.666667,'very unhealthy '
18,28.5,33.3,24.6,1004.8,73.2,179.58,4.2,3.8,9.4,31.475,31.625,'very unhealthy '
12,21.6,27.6,17.2,1013.3,70,0,3.5,1.2,3.6,137.3125,136.375,'very unhealthy '
9,29.3,33.8,28,1003.4,81,1.02,5.1,2.8,5.4,30.383333,30.166667,'very unhealthy '
19,27.4,31.6,24,1010,78.5,146.29,4.5,2,7.1,70.825,73.458333,'very unhealthy '
30,20.8,26.2,15.5,1013.5,62.8,0,3.2,1.6,4.2,125.5875,125.708333,'very unhealthy '
28,28.2,33.3,26.8,998.6,90,7.11,4.3,4.6,9.4,24.204167,25.25,'very unhealthy '
22,29,32.2,26.1,1001.7,81.7,368.05,4.5,2.4,5.7,31.5625,31,'very unhealthy '
15,27.4,32.4,20.7,1011.1,49,0,3.5,0,7,128.091667,132.541667,'very unhealthy '
17,21.5,27.6,16.5,1013.2,61.8,0,3.7,1.1,5.6,151.258333,148.083333,'very unhealthy '
29,21.7,27,15.3,1014.2,70,0,2.9,0,4.4,165.8875,164.583333,'very unhealthy '
29,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,77.74,78.47,'very unhealthy '
25,31.8,36.1,25.8,1003,74,32.77,5.3,0,5.5,72.845833,70.833333,'very unhealthy '
25,29,32.5,27.2,1000.8,87,28.19,5,0,4.3,27.716667,27.791667,'very unhealthy '
29,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,77.74,78.47,'very unhealthy '
23,30.5,33.9,26.8,1010.4,72,0,5,1.9,5.4,77.74,98.5,'very unhealthy '
4,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,45.154167,2.041667,'very unhealthy '
27,25.8,31.2,22,1015.7,57,0,3.2,0.7,3.5,77.74,78.47,'very unhealthy '
28,27.9,32.4,23.6,1005.5,76.6,333.76,4.6,4.2,9.2,33.806667,23.8,'very unhealthy '
4,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,89.145833,93.583333,'very unhealthy '
15,27.4,32.4,20.7,1011.1,49,0,3.5,0,7,128.091667,132.541667,'very unhealthy '
8,29.3,33.3,27,1001.1,78,0.51,4.8,2.2,3.5,24.279167,24.083333,'very unhealthy '
29,21.7,27,15.3,1014.2,70,0,2.9,0,4.4,165.8875,164.583333,'very unhealthy '
31,28.2,31.3,26.2,1004.4,89,29.21,4.5,0.7,3.5,28.354167,28.666667,'very unhealthy '
24,29.4,32.6,26.7,998.9,81,354.84,4.5,3.7,7.9,15.881818,14.909091,'very unhealthy '
19,25,30.1,20.1,1009.5,64.5,98.81,4.2,1.8,5.8,102.6625,106.166667,'very unhealthy '
22,27.4,32.6,23.4,1010.3,69,0,4,2,9.4,77.74,98.5,'very unhealthy '
30,28.6,31.6,26.9,1003,84,10.92,4.7,4.4,5.4,33.570833,35.083333,'very unhealthy '
12,20.8,26.2,15.5,1013.5,62.8,0,3.2,1.6,4.2,146.841667,141.875,'very unhealthy '
14,29.9,34,25.2,1003.5,73.7,70.11,5,5.5,12.1,49.791667,5.125,'very unhealthy '
1,29.6,32.8,25.2,1004.4,74,0,4.5,1.1,3.5,59.691667,62.666667,'very unhealthy '
27,25.2,30.6,19.2,1015.5,54,0,3.9,4.3,9.4,104.479167,102.041667,'very unhealthy '
25,29,32.5,27.2,1000.8,87,28.19,5,0,4.3,27.716667,27.791667,'very unhealthy '
24,28.5,33.3,24.6,1004.8,73.2,179.58,4.2,3.8,9.4,57.65,55.958333,'very unhealthy '
29,21.7,27,15.3,1014.2,70,0,2.9,0,4.4,165.8875,164.583333,'very unhealthy '
12,20.8,26.2,15.5,1013.5,62.8,0,3.2,1.6,4.2,146.841667,141.875,'very unhealthy '
22,28.5,33.3,24.6,1004.8,73.2,179.58,4.2,3.8,9.4,52.4875,52.916667,'very unhealthy '
27,25.2,30.2,24.2,1011.9,89,45.72,4,2.2,9.4,46.933333,45.416667,'very unhealthy '
14,30.2,34.8,26.8,1005.4,72.1,33.53,4.4,4.4,8.6,42.829167,42.833333,'very unhealthy '
17,26.3,33.1,21,1012.1,35,0,4,1.1,3.5,123.2125,120.416667,'very unhealthy '
17,31,34.5,27.7,1003.7,70.3,10.17,4.7,3.1,5.7,36.275,35.416667,'very unhealthy '
19,28.3,33,25.4,1006.9,74.3,73.9,4.6,0.9,4.4,78.345833,77.541667,'very unhealthy '
15,29.6,32.9,24.5,1007.9,62,0,4.7,0.6,3.5,63.629167,63.5,'very unhealthy '
12,21.6,27.6,17.2,1013.3,70,0,3.5,1.2,3.6,137.3125,136.375,'very unhealthy '
18,29.3,33,26.3,1000.7,78.5,240.54,4.9,2.1,5.8,37.045833,36.166667,'very unhealthy '
27,17.1,22.3,13,1012.3,63,0,3.4,2.4,5.4,153.6125,153.708333,'very unhealthy '
5,27.9,32.4,23.6,1005.5,76.6,333.76,4.6,4.2,9.2,41.579167,42.75,'very unhealthy '
14,30.2,34.8,26.8,1005.4,72.1,33.53,4.4,4.4,8.6,42.829167,42.833333,'very unhealthy '
3,28.2,32.4,22,1006.8,74,0,4.3,5,9.4,53.1125,54.583333,'very unhealthy '
24,25,30.1,20.1,1009.5,64.5,98.81,4.2,1.8,5.8,121.870833,121.916667,'very unhealthy '
15,28.3,31.2,25.7,1004.2,87,2.03,4.5,3.3,7.6,21.304167,21.458333,'very unhealthy '
17,26.3,33.1,21,1012.1,35,0,4,1.1,3.5,123.2125,120.416667,'very unhealthy '
22,27.4,32.6,23.4,1010.3,69,0,4,2,9.4,77.74,98.5,'very unhealthy '
18,24.1,29.5,20.3,1011.2,72.8,24.13,4.2,0.9,4.3,123.441667,123.958333,'very unhealthy '
15,28.2,34.4,23.7,1007.8,62,0.51,4.2,1.5,5.4,83.925,81.166667,'very unhealthy '
19,25,30.1,20.1,1009.5,64.5,98.81,4.2,1.8,5.8,102.6625,106.166667,'very unhealthy '
24,30,33.7,27,1000.7,78.3,218.45,4.7,4.1,8.5,14.120833,14.416667,'very unhealthy '
23,30.5,33.9,26.8,1010.4,72,0,5,1.9,5.4,77.74,98.5,'very unhealthy '
30,29.4,33.4,25.6,999.6,81,304.3,4.5,3.5,10.4,32.320833,32.041667,'very unhealthy '
17,27.4,31.6,24,1010,78.5,146.29,4.5,2,7.1,47.429167,47.791667,'very unhealthy '
18,28.5,33.3,24.6,1004.8,73.2,179.58,4.2,3.8,9.4,31.475,31.625,'very unhealthy '
27,25.2,30.2,24.2,1011.9,89,45.72,4,2.2,9.4,46.933333,45.416667,'very unhealthy '
13,27.6,29.5,26.6,1006.8,94,16.76,3.9,1.3,5.4,46.975,47.5,'very unhealthy '
1,30.4,33.6,28.2,1001.5,78,0,4.5,1.1,3.5,37.25,37.583333,'very unhealthy '
27,30.8,33.5,25.2,1007,66,0,5,3,5.4,33.225,34.041667,'very unhealthy '
1,22.3,27,18.2,1010.2,78,7.11,3.9,2.6,9.4,53.479167,54.5,'very unhealthy '
17,21.5,27.6,16.5,1013.2,61.8,0,3.7,1.1,5.6,151.258333,148.083333,'very unhealthy '
18,27.3,33.3,21.7,1009.1,56.9,17.27,4.4,2,5.7,123.0375,125.041667,'very unhealthy '
30,29.2,32.4,26.8,1002.1,82.2,574.3,4.6,1,4.3,25.704167,24.75,'very unhealthy '
29,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,77.74,78.47,'very unhealthy '
13,27.6,29.5,26.6,1006.8,94,16.76,3.9,1.3,5.4,46.975,47.5,'very unhealthy '
3,21.8,28.5,16.7,1014.1,61,0,3.9,1.1,5.4,124.3375,124.958333,'very unhealthy '
15,24.1,27.2,16.2,1014.8,53,0,3.7,1.9,3.5,159.458333,155.416667,'very unhealthy '
11,29.8,33.4,26.4,1001.1,79,246.36,4.8,4.5,11.2,16.975,17.8,'very unhealthy '
28,27.4,30.6,24.8,1009.4,79,0,4.3,3.3,3.5,57.208333,55.708333,'very unhealthy '
30,29.2,32.4,26.8,1002.1,82.2,574.3,4.6,1,4.3,25.704167,24.75,'very unhealthy '
18,27.3,33.3,21.7,1009.1,56.9,17.27,4.4,2,5.7,123.0375,125.041667,'very unhealthy '
20,29.3,32.8,26.9,1000.3,81.9,360.4,4.5,4.7,9.6,24.770833,24.25,'very unhealthy '
28,21.5,27.6,16.5,1013.2,61.8,0,3.7,1.1,5.6,155.020833,153.083333,'very unhealthy '
4,30.2,34.8,26.8,1005.4,72.1,33.53,4.4,4.4,8.6,44.375,44.5,'very unhealthy '
27,25.2,30.2,24.2,1011.9,89,45.72,4,2.2,9.4,46.933333,45.416667,'very unhealthy '
28,24.1,29.5,20.3,1011.2,72.8,24.13,4.2,0.9,4.3,129.266667,128.916667,'very unhealthy '
22,28.5,33.3,24.6,1004.8,73.2,179.58,4.2,3.8,9.4,52.4875,52.916667,'very unhealthy '
29,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,77.74,78.47,'very unhealthy '
20,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,14.783333,14.666667,'very unhealthy '
24,29.4,32.6,26.7,998.9,81,354.84,4.5,3.7,7.9,15.881818,14.909091,'very unhealthy '
20,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,14.783333,14.666667,'very unhealthy '
4,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,45.154167,2.041667,'very unhealthy '
17,27.4,31.6,24,1010,78.5,146.29,4.5,2,7.1,47.429167,47.791667,'very unhealthy '
5,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,128.129167,122.833333,'very unhealthy '
25,29,32.5,27.2,1000.8,87,28.19,5,0,4.3,27.716667,27.791667,'very unhealthy '
